USpace停車場名稱,USpace城市,USpace區域,USpace日間費率,USpace夜間費率,USpace最高費率,USpace價格定位,周邊臨停服務停車場總數,周邊總車格數,0-30元停車場數,31-50元停車場數,51-80元停車場數,81-120元停車場數,121-200元停車場數,200元以上停車場數,主要價格區間,低價競爭者比例,高價競爭者比例,競爭狀況,周邊平均最高費率,周邊平均日間費率,周邊平均夜間費率,周邊平均月租,USpace最高費率相對差異%,USpace日間費率相對差異%,價格競爭優勢,競爭密度每平方公里,最近競爭者距離km
USPACE富邦金融中心,台北市,大安區,80.0,0,80.0,中價位,193,36418,49,42,28,50,21,3,81-120元,47.2%,12.4%,競爭適中,103.6,75.93,97.2,7313.92,-22.78,5.36,明顯較便宜,6.83,0.36
洛碁大飯店南港館,台北市,南港區,40.0,0,40.0,中低價位,68,15378,27,14,13,10,4,0,0-30元,60.3%,5.9%,低價競爭激烈,57.5,55.88,55.9,5240.32,-30.43,-28.42,明顯較便宜,2.41,0.37
南京吉林路鄰近車位,台北市,中山區,50.0,0,50.0,中低價位,201,31255,46,56,31,36,28,4,31-50元,50.7%,15.9%,競爭適中,128.88,75.42,122.0,7167.04,-61.2,-33.71,明顯較便宜,7.11,0.07
長榮醫院鄰近車位,桃園市,中壢區,15.0,0,15.0,低價位,0,0,0,0,0,0,0,0,無資料,0.0%,0.0%,競爭者少,0,0,-,-,0,0,價格相當,0.0,0
成功國宅車位(和平東路三段),台北市,大安區,60.0,20.0,60.0,中價位,167,30641,42,39,24,42,19,1,0-30元,48.5%,12.0%,競爭適中,82.16,76.11,76.5,7166.53,-26.97,-21.16,明顯較便宜,5.91,0.24
三重大智街精華車位,新北市,三重區,32.857142857142854,10.0,32.857142857142854,中低價位,166,23495,75,38,40,12,1,0,0-30元,68.1%,0.6%,低價競爭激烈,46.86,45.45,44.93,4964.2,-29.88,-27.7,明顯較便宜,5.87,0.2
市民大道四段精華車位,台北市,松山區,50.0,0,50.0,中低價位,202,38817,53,43,30,50,23,3,0-30元,47.5%,12.9%,競爭適中,102.18,75.54,95.85,7116.21,-51.07,-33.81,明顯較便宜,7.15,0.04
南京復興鄰近車位2.0,台北市,松山區,50.0,0,50.0,中低價位,203,38240,44,46,32,51,26,4,81-120元,44.3%,14.8%,競爭適中,132.0,78.82,125.12,7565.12,-62.12,-36.56,明顯較便宜,7.18,0.17
崇明五街,台南市,東區,0,0,0,低價位,0,0,0,0,0,0,0,0,無資料,0.0%,0.0%,競爭者少,0,0,-,-,0,0,價格相當,0.0,0
麗車坊中央路站,花蓮縣,花蓮市,20.0,0,20.0,低價位,0,0,0,0,0,0,0,0,無資料,0.0%,0.0%,競爭者少,0,0,-,-,0,0,價格相當,0.0,0
